# [1] = (t-r*)/M
# [2] = Amp{rhOverM(2,2)}
# [3] = Arg{rhOverM(2,2)}
-434986.4883787 0.031882300246033 3984.0256843198
-434913.9883787 0.031883592147546 3983.592701118
-434840.9883787 0.031884893155172 3983.1567118448
-434718.9883787 0.031887068066887 3982.4280086776
-434596.4883787 0.031889252677504 3981.6962391727
-434473.4883787 0.031891446991677 3980.9614028761
-434350.4883787 0.031893642089278 3980.2264869619
-434226.9883787 0.031895846893257 3979.4885040081
-434102.9883787 0.031898061408097 3978.7474535791
-433978.4883787 0.031900285638195 3978.0033352484
-433853.4883787 0.031902519587865 3977.2561485988
-433727.9883787 0.031904763261466 3976.5058932085
-433602.9883787 0.031906998779607 3975.7585473824
-433477.9883787 0.031909235082048 3975.0111219911
-433352.9883787 0.03191147217137 3974.2636167923
-433228.4883787 0.031913701097064 3973.5190220441
-433103.9883787 0.031915930808466 3972.7743476453
-432979.9883787 0.031918152348718 3972.0325844976
-432855.9883787 0.031920374673431 3971.2907418634
-432731.9883787 0.031922597784883 3970.5488195305
-432607.9883787 0.031924821683697 3969.8068174553
-432483.9883787 0.031927046369801 3969.064735665
-432359.9883787 0.03192927184312 3968.3225741869
-432235.9883787 0.031931498103579 3967.5803330486
-432111.9883787 0.031933725151103 3966.8380122773
-431987.9883787 0.031935952985617 3966.0956119006
-431863.9883787 0.031938181607046 3965.3531319458
-431739.9883787 0.03194041101532 3964.61057244
-431615.9883787 0.031942641210645 3963.8679333819
-431491.9883787 0.031944872193653 3963.1252147275
-431367.9883787 0.03194710396501 3962.3824164288
-431243.9883787 0.031949336525385 3961.6395384381
-431119.9883787 0.031951569875443 3960.8965807073
-430995.9883787 0.031953804015854 3960.1535431887
-430871.9883787 0.031956038947284 3959.4104258345
-430747.9883787 0.0319582746704 3958.6672285966
-430623.9883787 0.03196051118587 3957.9239514275
-430499.9883787 0.0319627484943 3957.1805942853
-430376.4883787 0.031964977569971 3956.4401550328
-430252.9883787 0.031967207433153 3955.6996363962
-430129.4883787 0.031969438084304 3954.959038349
-430005.9883787 0.031971669523881 3954.2183608645
-429882.4883787 0.031973901752343 3953.4776039164
-429758.9883787 0.031976134770147 3952.7367674781
-429635.4883787 0.03197836857775 3951.995851523
-429511.9883787 0.03198060317561 3951.2548560246
-429388.4883787 0.031982838564187 3950.5137809563
-429264.9883787 0.031985074743973 3949.7726262881
-429141.4883787 0.031987311715487 3949.0313919875
-429017.9883787 0.03198954947925 3948.2900780219
-428894.4883787 0.03199178803578 3947.5486843586
-428770.9883787 0.0319940273856 3946.8072109651
-428647.4883787 0.031996267529228 3946.0656578087
-428523.9883787 0.031998508467185 3945.3240248567
-428400.4883787 0.032000750199992 3944.5823120766
-428276.9883787 0.032002992728168 3943.8405194357
-428153.4883787 0.032005236052234 3943.0986469014
-428029.9883787 0.032007480172704 3942.3566944417
-427906.4883787 0.032009725090088 3941.6146620255
-427783.4883787 0.032011961711323 3940.8755542865
-427660.4883787 0.03201419912404 3940.1363671752
-427537.4883787 0.032016437328741 3939.3971006608
-427414.4883787 0.032018676325929 3938.6577547126
-427291.4883787 0.032020916116106 3937.9183292996
-427168.4883787 0.032023156699776 3937.1788243912
-427045.4883787 0.032025398077441 3936.4392399564
-426922.4883787 0.032027640249603 3935.6995759644
-426799.4883787 0.032029883216767 3934.9598323843
-426676.4883787 0.032032126979444 3934.2200091847
-426553.4883787 0.032034371538144 3933.4801063342
-426430.4883787 0.032036616893382 3932.7401238013
-426307.4883787 0.032038863045668 3932.0000615543
-426184.4883787 0.032041109995515 3931.2599195619
-426061.4883787 0.032043357743436 3930.5196977926
-425938.4883787 0.032045606289942 3929.7793962147
-425815.4883787 0.032047855635545 3929.0390147969
-425692.4883787 0.032050105780759 3928.2985535075
-425569.4883787 0.032052356726095 3927.5580123152
-425446.4883787 0.032054608472066 3926.8173911884
-425323.4883787 0.032056861019188 3926.0766900954
-425200.9883787 0.032059105206399 3925.338920472
-425078.4883787 0.032061350189283 3924.6010714687
-424955.9883787 0.03206359596835 3923.8631430542
-424833.4883787 0.032065842544109 3923.1251351974
-424710.9883787 0.032068089917072 3922.387047867
-424588.4883787 0.032070338087746 3921.6488810318
-424465.9883787 0.032072587056644 3920.9106346606
-424343.4883787 0.032074836824274 3920.1723087221
-424220.9883787 0.032077087391146 3919.4339031851
-424098.4883787 0.032079338757772 3918.6954180184
-423975.9883787 0.032081590924665 3917.9568531905
-423853.4883787 0.032083843892341 3917.2182086698
-423730.9883787 0.032086097661317 3916.479484425
-423608.4883787 0.032088352232106 3915.7406804244
-423485.9883787 0.032090607605227 3915.0017966366
-423363.4883787 0.032092863781193 3914.26283303
-423240.9883787 0.032095120760521 3913.5237895733
-423118.4883787 0.032097378543727 3912.7846662348
-422995.9883787 0.032099637131325 3912.045462983
-422873.4883787 0.032101896523833 3911.3061797865
-422750.9883787 0.032104156721765 3910.5668166137
-422628.9883787 0.032106408495414 3909.8303917311
-422506.9883787 0.032108661068954 3909.0938874611
-422384.9883787 0.032110914442901 3908.3573037723
-422262.9883787 0.03211316861777 3907.6206406334
-422140.9883787 0.032115423594074 3906.8838980129
-422018.9883787 0.03211767937233 3906.1470758796
-421896.9883787 0.032119935953052 3905.410174202
-421774.9883787 0.032122193336754 3904.6731929489
-421652.9883787 0.032124451523952 3903.9361320888
-421530.9883787 0.03212671051516 3903.1989915904
-421408.9883787 0.032128970310894 3902.4617714223
-421286.9883787 0.032131230911668 3901.7244715531
-421164.9883787 0.032133492318001 3900.9870919514
-421042.9883787 0.032135754530413 3900.2496325856
-420920.9883787 0.032138017549425 3899.5120934239
-420798.9883787 0.032140281375557 3898.7744744349
-420676.9883787 0.032142546009331 3898.0367755868
-420554.9883787 0.032144811451266 3897.298996848
-420432.9883787 0.032147077701883 3896.561138187
-420310.9883787 0.032149344761703 3895.8231995722
-420189.4883787 0.032151603335047 3895.0882058015
-420067.9883787 0.032153862712004 3894.3531326683
-419946.4883787 0.03215612289309 3893.6179801415
-419824.9883787 0.032158383878819 3892.8827481897
-419703.4883787 0.032160645669708 3892.1474367816
-419581.9883787 0.032162908266278 3891.4120458857
-419460.4883787 0.032165171669049 3890.6765754706
-419338.9883787 0.03216743587854 3889.9410255046
-419217.4883787 0.032169700895272 3889.2053959564
-419095.9883787 0.032171966719765 3888.4696867945
-418974.4883787 0.032174233352539 3887.7338979873
-418852.9883787 0.032176500794114 3886.9980295033
-418731.4883787 0.032178769045009 3886.2620813112
-418609.9883787 0.032181038105746 3885.5260533793
-418488.4883787 0.032183307976844 3884.7899456762
-418366.9883787 0.032185578658823 3884.0537581704
-418245.4883787 0.032187850152206 3883.3174908304
-418123.9883787 0.032190122457518 3882.5811436243
-418002.4883787 0.032192395575286 3881.8447165204
-417880.9883787 0.032194669506036 3881.1082094869
-417759.4883787 0.032196944250293 3880.3716224921
-417638.4883787 0.032199210442478 3879.6379872197
-417517.4883787 0.032201477442531 3878.9042725798
-417396.4883787 0.032203745250971 3878.1704785411
-417275.4883787 0.032206013868317 3877.4366050723
-417154.4883787 0.032208283295089 3876.702652142
-417033.4883787 0.032210553531808 3875.9686197188
-416912.4883787 0.032212824578992 3875.2345077713
-416791.4883787 0.032215096437162 3874.5003162682
-416670.4883787 0.032217369106842 3873.7660451779
-416549.4883787 0.032219642588558 3873.0316944688
-416428.4883787 0.032221916882835 3872.2972641091
-416307.4883787 0.0322241919902 3871.5627540674
-416186.4883787 0.032226467911179 3870.8281643118
-416065.4883787 0.032228744646296 3870.0934948109
-415944.4883787 0.032231022196078 3869.3587455329
-415823.4883787 0.03223330056105 3868.6239164462
-415702.4883787 0.032235579741739 3867.8890075192
-415581.4883787 0.032237859738669 3867.1540187203
-415460.4883787 0.032240140552368 3866.4189500177
-415339.4883787 0.03224242218336 3865.6838013799
