# [1] = (t-r*)/M
# [2] = Amp{rhOverM(2,2)}
# [3] = Arg{rhOverM(2,2)}
-426821.48703014 0.031923804887202 3869.8014923344
-426750.48703014 0.031925087770057 3869.3774675532
-426679.48703014 0.031926370851475 3868.9534229414
-426559.48703014 0.031928540080518 3868.2366638397
-426437.98703014 0.031930737226728 3867.5108651976
-426314.98703014 0.031932962300182 3866.7760260293
-426190.48703014 0.0319352153103 3866.0321454157
-426065.48703014 0.031937478166051 3865.2851977807
-425940.98703014 0.031939732766179 3864.541158567
-425816.48703014 0.031941988164348 3863.7970397803
-425692.48703014 0.031944235301736 3863.0558299682
-425568.48703014 0.031946483238354 3862.3145405033
-425444.98703014 0.031948722908872 3861.5761605816
-425321.48703014 0.031950963379647 3860.8377009428
-425197.98703014 0.031953204652744 3860.0991614002
-425074.48703014 0.031955446727971 3859.3605419933
-424950.98703014 0.031957689604969 3858.6218427777
-424827.48703014 0.031959933283377 3857.8830638096
-424703.98703014 0.031962177762837 3857.1442051447
-424580.48703014 0.031964423042989 3856.405266839
-424456.98703014 0.031966669123475 3855.6662489482
-424333.48703014 0.031968916003958 3854.927151526
-424209.98703014 0.031971163684646 3854.1879745717
-424086.48703014 0.031973412166275 3853.448718032
-423962.98703014 0.031975661449604 3852.7093818513
-423839.48703014 0.031977911535392 3851.9699659739
-423715.98703014 0.031980162424399 3851.2304703443
-423592.48703014 0.031982414117382 3850.490894907
-423468.98703014 0.031984666615101 3849.7512396062
-423345.48703014 0.031986919918314 3849.0115043865
-423221.98703014 0.031989174027744 3848.2716891959
-423098.98703014 0.031991419813072 3847.534789691
-422975.98703014 0.03199366639907 3846.7978108051
-422852.98703014 0.031995913786191 3846.0607525134
-422729.98703014 0.031998161974883 3845.323614791
-422606.98703014 0.032000410965599 3844.5863976133
-422483.98703014 0.032002660758787 3843.8491009553
-422360.98703014 0.0320049113549 3843.1117247923
-422237.98703014 0.032007162754387 3842.3742690995
-422114.98703014 0.032009414957703 3841.6367338516
-421991.98703014 0.032011667965355 3840.8991190185
-421868.98703014 0.032013921777881 3840.1614245668
-421745.98703014 0.03201617639582 3839.4236504631
-421622.98703014 0.032018431819712 3838.685796674
-421499.98703014 0.032020688050095 3837.9478631663
-421376.98703014 0.032022945087509 3837.2098499063
-421253.98703014 0.032025202932492 3836.4717568608
-421130.98703014 0.032027461585584 3835.7335839964
-421007.98703014 0.032029721047324 3834.9953312798
-420884.98703014 0.032031981318248 3834.2569986777
-420761.98703014 0.03203424239888 3833.5185861586
-420638.98703014 0.03203650428974 3832.7800936911
-420515.98703014 0.032038766991351 3832.041521244
-420393.48703014 0.032041021301317 3831.3058716003
-420270.98703014 0.032043276416485 3830.570142564
-420148.48703014 0.03204553233737 3829.8343341042
-420025.98703014 0.032047789064486 3829.0984461899
-419903.48703014 0.032050046598347 3828.3624787903
-419780.98703014 0.032052304939468 3827.6264318745
-419658.48703014 0.032054564088364 3826.8903054114
-419535.98703014 0.032056824045559 3826.1540993697
-419413.48703014 0.032059084811576 3825.4178137174
-419290.98703014 0.032061346386943 3824.6814484229
-419168.48703014 0.032063608772185 3823.9450034544
-419045.98703014 0.032065871967828 3823.2084787801
-418923.48703014 0.032068135974398 3822.4718743683
-418800.98703014 0.03207040079242 3821.7351901872
-418678.48703014 0.03207266642242 3820.9984262051
-418555.98703014 0.032074932864924 3820.2615823901
